TotalEvent,event_date,item_id,event_name
42,20240805,211902540,add_to_cart
512,20240805,211902540,view_item
70,20240804,211902540,add_to_cart
862,20240804,211902540,view_item
73,20240803,211902540,add_to_cart
763,20240803,211902540,view_item
53,20240802,211902540,add_to_cart
784,20240802,211902540,view_item
69,20240801,211902540,add_to_cart
770,20240801,211902540,view_item
91,20240731,211902540,add_to_cart
974,20240731,211902540,view_item
76,20240730,211902540,add_to_cart
819,20240730,211902540,view_item
77,20240729,211902540,add_to_cart
855,20240729,211902540,view_item
73,20240728,211902540,add_to_cart
836,20240728,211902540,view_item
64,20240727,211902540,add_to_cart
724,20240727,211902540,view_item
88,20240726,211902540,add_to_cart
815,20240726,211902540,view_item
76,20240725,211902540,add_to_cart
774,20240725,211902540,view_item
64,20240724,211902540,add_to_cart
695,20240724,211902540,view_item
61,20240723,211902540,add_to_cart
733,20240723,211902540,view_item
64,20240722,211902540,add_to_cart
750,20240722,211902540,view_item
61,20240721,211902540,add_to_cart
665,20240721,211902540,view_item
48,20240720,211902540,add_to_cart
661,20240720,211902540,view_item
45,20240719,211902540,add_to_cart
623,20240719,211902540,view_item
59,20240718,211902540,add_to_cart
614,20240718,211902540,view_item
56,20240717,211902540,add_to_cart
605,20240717,211902540,view_item
62,20240716,211902540,add_to_cart
600,20240716,211902540,view_item
71,20240715,211902540,add_to_cart
627,20240715,211902540,view_item
77,20240714,211902540,add_to_cart
655,20240714,211902540,view_item
53,20240713,211902540,add_to_cart
488,20240713,211902540,view_item
66,20240712,211902540,add_to_cart
561,20240712,211902540,view_item
51,20240711,211902540,add_to_cart
577,20240711,211902540,view_item
61,20240710,211902540,add_to_cart
606,20240710,211902540,view_item
59,20240709,211902540,add_to_cart
621,20240709,211902540,view_item
56,20240708,211902540,add_to_cart
585,20240708,211902540,view_item
76,20240707,211902540,add_to_cart
701,20240707,211902540,view_item
56,20240706,211902540,add_to_cart
530,20240706,211902540,view_item
89,20240705,211902540,add_to_cart
595,20240705,211902540,view_item
65,20240704,211902540,add_to_cart
623,20240704,211902540,view_item
83,20240703,211902540,add_to_cart
750,20240703,211902540,view_item
73,20240702,211902540,add_to_cart
793,20240702,211902540,view_item
102,20240701,211902540,add_to_cart
820,20240701,211902540,view_item
91,20240630,211902540,add_to_cart
831,20240630,211902540,view_item
68,20240629,211902540,add_to_cart
764,20240629,211902540,view_item
90,20240628,211902540,add_to_cart
772,20240628,211902540,view_item
87,20240627,211902540,add_to_cart
801,20240627,211902540,view_item
96,20240626,211902540,add_to_cart
841,20240626,211902540,view_item
79,20240625,211902540,add_to_cart
784,20240625,211902540,view_item
73,20240624,211902540,add_to_cart
804,20240624,211902540,view_item
94,20240623,211902540,add_to_cart
743,20240623,211902540,view_item
63,20240622,211902540,add_to_cart
735,20240622,211902540,view_item
71,20240621,211902540,add_to_cart
794,20240621,211902540,view_item
74,20240620,211902540,add_to_cart
788,20240620,211902540,view_item
56,20240619,211902540,add_to_cart
621,20240619,211902540,view_item
63,20240618,211902540,add_to_cart
737,20240618,211902540,view_item
80,20240617,211902540,add_to_cart
752,20240617,211902540,view_item
77,20240616,211902540,add_to_cart
1002,20240616,211902540,view_item
58,20240615,211902540,add_to_cart
830,20240615,211902540,view_item
72,20240614,211902540,add_to_cart
893,20240614,211902540,view_item
89,20240613,211902540,add_to_cart
1018,20240613,211902540,view_item
100,20240612,211902540,add_to_cart
1120,20240612,211902540,view_item
122,20240611,211902540,add_to_cart
1212,20240611,211902540,view_item
145,20240610,211902540,add_to_cart
1345,20240610,211902540,view_item
156,20240609,211902540,add_to_cart
1460,20240609,211902540,view_item
148,20240608,211902540,add_to_cart
1461,20240608,211902540,view_item
175,20240607,211902540,add_to_cart
1463,20240607,211902540,view_item
199,20240606,211902540,add_to_cart
1699,20240606,211902540,view_item
